treat,hra_c_yr1,male,age50,age37_49,white,sickleave_0815_0716,sickleave_0816_0717,sickleave_0816_0119,sickdays_eligible_0815_0716,sickdays_eligible_0816_0717,sickdays_eligible_0816_0119,gym_0815_0716,gym_0816_0717,gym_0816_0119,promotion_0616_0717,promotion_0616_0119,titleChange_0616_0717,titleChange_0616_0119,salaryRaise_0616_0717,salaryRaise_0616_0119,salary_0616,terminated_0717,terminated_0119,prod_index_yr0,prod_index_yr1,prod_index_yr2
0,,0,0,1,1,2.870786,12.46375,13.38097,356,365,899,0,0,0,0,0,,,,,,0,0,1.269092,,
1,1,0,1,0,1,6.125,24.5,14.72789,365,365,899,0,0,0,0,1,,,,,,0,0,1.078481,.0115478,1.361062
1,1,0,0,0,1,4,1.5,.7105117,365,365,899,0,0,.4,0,0,,,,,,0,0,1.436567,.2631474,.056815
0,,1,1,0,0,4,0,.4060067,365,365,899,0,0,0,0,0,,,,,,0,0,2.115832,,
1,0,0,1,0,1,15.7625,29.15,35.64624,365,365,668,0,0,0,0,,,,,,,0,1,-3.1253,-2.476884,
1,1,1,1,0,0,25.5,0,0,365,333,333,0,0,0,,,,,,,,1,1,-3.371309,,
0,,1,0,0,1,2.085714,3,1.624027,350,365,899,0,0,0,1,1,,,,,,0,0,.8305086,,
1,1,1,1,0,1,6.3125,10.75,11.64021,365,365,899,0,0,0,0,0,,,,,,0,0,.0535607,-2.17408,-2.521003
1,1,1,0,1,0,0,0,0,365,365,899,0,0,0,0,0,,,,,,0,0,2.11554,,
1,0,0,1,0,1,10.14875,3.47,1.408843,365,365,899,0,0,0,0,0,,,,,,0,0,-.53521,,
0,,0,1,0,0,1.5,10,6.0901,365,365,899,37,39,36.8,0,0,,,,,,0,0,-1.468086,-.4994381,-.6376078
0,,0,0,0,1,1,3,1.598651,365,365,899,2,0,0,0,1,,,,,,0,0,.4183091,-2.080221,-.8783922
1,0,1,0,0,1,3.90625,14,12.31977,365,365,899,0,0,0,0,0,,,,,,0,0,1.436671,.0256886,.0220524
1,1,0,0,0,0,2.664234,8,6.006329,137,365,790,0,0,0,0,,,,,,,0,1,1.204351,1.19164,
1,1,0,0,0,1,0,0,0,365,365,899,0,0,0,0,0,,,,,,0,0,1.69196,-.0198852,-.176429
1,1,0,1,0,1,5.75,0,0,365,121,121,0,0,0,,,,,,,,1,1,-2.532107,,
0,,0,0,0,1,0,0,0,350,365,379,0,0,0,,,,,,,,1,1,.7701484,,
1,0,0,0,0,1,8.311881,15.27,14.03576,202,365,676,0,0,0,0,,,,,,,0,1,.7236419,-1.648301,
1,1,0,0,1,1,4,0,4.060067,365,365,899,0,0,4,0,1,,,,,,0,0,1.607494,,
1,0,1,0,1,1,0,0,0,365,365,899,0,0,0,0,0,,,,,,0,0,.0286035,,
0,,0,0,0,1,10,5,5.278087,365,365,899,0,0,0,0,1,,,,,,0,0,-1.859856,-2.3683,-1.464364
1,1,0,1,0,1,0,0,.4060067,365,365,899,0,0,0,0,1,,,,,,0,0,-1.406124,-3.421257,-2.630229
0,,1,1,0,1,0,0,0,365,365,899,0,0,0,0,0,,,,,,0,0,-.095069,-2.32312,-3.115146
